id,cols_1,cols_2,cols_3,cols_4,cols_5,cols_6,cols_7,cols_8,cols_9,cols_10,cols_11,cols_12,cols_13,cols_14,True_value
Id_6277,B,9.4,False,True,6.66,X,type_1,,,1.428571429,-34.785,4.08882717,True,C,62800.584
Id_3916,,9.4,False,True,8.88,X,type_1,16.32,141751.0,1.428571429,,5.488589937,True,C,75395.2584
Id_293,E,9.4,False,True,11.84,,type_2,21.6,159367.0,1.428571429,-27.828,5.488589937,True,B,125632.584
Id_2639,I,8.6,False,,22.2,W,,28.32,71270.0,2.857142857,-27.828,4.08882717,True,D,128774.184
Id_9458,G,10.0,,True,7.4,X,type_1,17.28,56188.0,,-27.828,4.08882717,False,D,81650.184
Id_1506,B,9.2,False,True,10.36,Z,type_2,21.6,270096.0,1.428571429,-13.914,,True,B,90833.0808
Id_9037,E,10.0,False,True,8.88,Y,type_1,17.28,43672.0,1.428571429,-27.828,5.488589937,True,,94216.584
Id_7393,J,9.6,False,,8.14,Y,,17.28,67902.0,1.428571429,-27.828,5.488589937,False,B,109604.1408
Id_1634,C,10.2,False,True,7.4,X,type_1,16.56,32977.0,1.428571429,-27.828,4.08882717,False,A,115516.632
Id_2457,B,9.6,False,True,7.4,X,type_1,14.4,10581.0,1.428571429,-34.785,4.08882717,False,A,94216.584
Id_9891,J,8.4,False,False,5.92,X,type_1,13.2,74153.0,1.428571429,,4.08882717,False,C,37667.784
Id_5558,H,9.6,False,True,7.4,X,type_1,13.92,,1.428571429,-34.785,4.08882717,False,D,65942.184
Id_9751,,8.6,False,False,9.25,Z,,23.52,187455.0,1.428571429,-27.828,4.08882717,False,C,62828.8584
Id_2300,F,9.6,False,True,11.84,Z,type_2,20.4,149747.0,1.785714286,-27.828,5.488589937,,D,122365.32
Id_4537,,9.6,False,True,8.51,Y,,14.88,32265.0,1.428571429,,5.488589937,False,D,109893.168
Id_2938,G,8.0,False,False,9.25,W,type_2,20.4,204634.0,1.428571429,,4.796035003,False,C,43979.2584
Id_1563,J,7.6,False,False,7.4,X,type_1,19.68,351894.0,1.428571429,-27.828,4.08882717,False,,15676.584
Id_5689,E,10.2,False,True,7.4,X,,,66663.0,1.428571429,,4.08882717,True,D,78188.1408
Id_8658,B,6.8,False,True,6.66,X,type_1,18.72,236450.0,1.428571429,-27.828,4.08882717,False,D,21988.0584
Id_7517,J,10.2,False,True,5.18,,type_1,14.88,60150.0,1.428571429,-34.785,4.08882717,False,C,71904.9408
Id_1979,J,9.4,False,True,7.4,X,type_1,18.96,71397.0,1.428571429,-27.828,4.08882717,True,,78382.92
Id_1883,B,9.8,,True,6.66,X,type_3,10.08,65472.0,1.428571429,-34.785,4.08882717,False,A,106782.984
Id_3803,H,7.0,False,True,8.51,X,type_0,21.36,247519.0,,-27.828,4.08882717,,,18692.52
Id_438,H,,False,True,9.25,,type_1,,7282.0,,-27.828,4.08882717,False,D,116207.784
Id_4635,H,10.0,False,True,5.55,X,type_1,12.48,,1.428571429,-34.785,4.08882717,False,D,72225.384
Id_4528,,,False,True,7.77,W,type_2,14.64,76661.0,1.428571429,-27.828,1.834008086,False,A,116207.784
Id_4332,I,8.8,,True,6.66,X,type_1,17.76,117000.0,1.428571429,-27.828,4.08882717,True,A,24780.9408
Id_3573,C,10.2,False,True,8.51,Z,type_2,19.44,43275.0,1.428571429,-27.828,4.08882717,False,A,216393.408
Id_8741,I,6.8,,False,11.1,Z,type_2,0.0,383111.0,1.428571429,-13.914,1.834008086,False,C,31384.584
Id_8911,H,,False,True,9.25,X,type_1,,3383.0,1.428571429,-27.828,4.08882717,False,B,122490.984
Id_4817,H,7.8,False,True,7.4,X,type_1,19.68,178389.0,1.428571429,,4.08882717,True,D,26700.4584
Id_6435,D,9.8,False,,7.4,Y,type_0,19.44,69349.0,1.428571429,-27.828,4.08882717,,B,131915.784
Id_2986,B,10.2,False,True,6.66,X,type_3,10.08,44200.0,1.428571429,,,True,D,103320.9408
Id_7838,J,9.2,,True,8.14,X,,18.48,133561.0,1.428571429,-27.828,6.168843302,False,B,110304.7176
Id_704,F,9.4,False,True,5.55,X,,17.28,59133.0,1.428571429,-27.828,4.08882717,False,,75392.1168
Id_2280,H,9.0,False,True,5.55,,type_2,,,1.428571429,-27.828,4.08882717,True,,68958.12
Id_8734,H,8.6,False,False,,X,,15.36,,1.428571429,-34.785,4.08882717,True,B,37667.784
Id_4147,B,10.4,False,True,9.25,Y,type_3,11.52,,1.428571429,-34.785,4.08882717,False,B,200685.408
Id_5412,H,9.6,False,,9.25,X,type_1,15.6,45535.0,1.428571429,-34.785,4.08882717,False,C,81650.184
Id_373,C,8.6,False,True,9.25,Z,type_2,25.2,102489.0,,-27.828,4.08882717,False,A,72225.384
Id_6405,,9.6,,True,7.4,X,type_1,16.56,95756.0,1.428571429,-27.828,4.08882717,False,A,100499.784
Id_9223,B,10.0,False,True,16.65,Z,type_2,,25483.0,,-27.828,5.488589937,False,D,942165.84
Id_2585,B,9.6,False,True,10.36,Z,type_2,19.2,108660.0,1.428571429,-27.828,5.488589937,True,B,241620.456
Id_1332,B,10.2,False,True,9.25,Y,type_3,11.52,26922.0,1.428571429,-34.785,4.08882717,True,B,204172.584
Id_9572,D,10.4,True,True,7.4,Y,type_0,17.52,5.0,1.428571429,-27.828,4.08882717,True,B,180610.584
Id_5282,I,,,True,10.36,Z,type_2,,136416.0,1.428571429,-27.828,4.08882717,True,C,84791.784
Id_9131,,10.2,False,True,7.4,W,type_2,16.8,49201.0,1.428571429,-27.828,5.488589937,False,D,204172.584
Id_8315,A,9.6,False,True,14.8,W,type_0,20.64,36191.0,,-27.828,,True,D,342082.5408
Id_9809,E,9.2,False,True,11.84,Z,,21.6,,1.428571429,-27.828,5.488589937,True,D,97358.184
Id_1784,B,7.8,False,True,,Z,type_2,22.8,317971.0,1.428571429,-27.828,4.08882717,True,C,62828.8584
Id_3182,C,9.8,False,,7.4,X,type_1,16.56,81901.0,1.428571429,-27.828,,False,B,78508.584
Id_494,G,9.2,False,True,9.25,W,type_2,21.6,100260.0,,-27.828,6.168843302,True,C,87933.384
Id_7363,H,9.4,False,True,,X,type_1,14.64,52775.0,1.428571429,-34.785,4.08882717,True,B,90754.5408
Id_2860,G,,False,True,5.92,X,type_1,17.04,80237.0,1.428571429,-20.871,,True,D,78524.292
Id_7929,B,10.2,False,False,16.65,Z,type_2,25.68,25683.0,2.857142857,-27.828,4.08882717,False,B,486916.584
Id_4041,D,10.0,False,True,,Y,type_0,17.52,36226.0,1.428571429,-27.828,4.08882717,,C,160190.184
Id_7178,H,,True,False,11.1,Z,type_2,19.2,,1.428571429,-13.914,,False,D,147246.792
Id_2897,D,9.2,False,False,4.44,X,type_0,11.52,55478.0,1.428571429,-34.785,4.08882717,True,D,56196.9408
Id_366,D,10.4,True,True,,Y,type_0,,16.0,1.428571429,-27.828,4.08882717,True,C,169150.0272
Id_849,I,9.2,,True,10.36,Z,type_2,21.6,91448.0,1.428571429,-27.828,4.08882717,False,D,102098.8584
Id_7440,C,9.4,False,True,8.51,Z,type_2,16.8,99200.0,1.428571429,-27.828,4.08882717,False,D,116207.784
Id_9454,H,9.4,False,True,8.14,Y,type_2,13.68,27154.0,1.428571429,-27.828,4.08882717,,,109924.584
Id_4301,B,9.2,False,True,10.36,Z,type_2,19.2,104897.0,1.428571429,-27.828,5.488589937,False,C,185002.5408
Id_2653,F,10.0,False,True,11.84,Z,,21.36,79671.0,,-27.828,4.08882717,False,A,163338.0672
Id_3503,H,8.8,False,True,7.4,,type_1,15.36,117307.0,,-27.828,4.08882717,True,A,70968.744
Id_1541,F,10.4,False,,7.4,W,type_2,,15725.0,1.428571429,-27.828,5.488589937,True,D,210173.04
Id_4165,,9.6,False,True,7.4,X,type_1,16.56,62126.0,1.428571429,,4.08882717,False,C,87933.384
Id_8866,B,9.4,False,True,7.4,X,type_1,16.8,142881.0,1.428571429,-27.828,4.08882717,False,C,81524.52
Id_322,H,8.0,False,True,5.55,X,type_1,16.32,95684.0,1.428571429,-34.785,4.08882717,True,D,40809.384
Id_2031,,7.2,False,True,9.25,Z,type_1,23.52,158100.0,1.428571429,-27.828,4.08882717,True,D,31384.584
Id_813,B,7.4,False,,17.39,Z,type_1,39.36,350465.0,2.857142857,-27.828,,True,B,94244.8584
Id_8939,G,8.8,False,,9.25,W,type_2,21.6,150302.0,1.428571429,-27.828,6.168843302,True,A,69099.492
Id_9375,J,9.6,False,True,8.14,Y,type_2,17.28,79586.0,1.428571429,-27.828,5.488589937,False,B,119349.384
Id_1079,E,7.8,False,False,7.4,X,type_1,18.96,224034.0,1.428571429,-34.785,4.08882717,False,A,21959.784
Id_2226,B,9.8,,True,12.95,Y,type_1,22.8,34832.0,2.142857143,,5.488589937,True,A,157048.584
Id_9136,E,10.2,False,True,8.88,Z,type_2,20.64,50804.0,,-27.828,3.363585661,False,D,188433.168
Id_9531,A,9.4,False,True,5.92,X,type_0,13.68,31467.0,1.428571429,-27.828,4.08882717,False,A,115705.128
Id_2705,B,10.4,False,True,7.4,X,type_1,14.4,11277.0,1.428571429,-34.785,4.08882717,False,C,179039.784
Id_6824,D,,False,False,7.4,Z,type_2,18.72,183793.0,1.428571429,-13.914,1.834008086,False,C,53375.784
Id_7556,J,9.0,False,True,7.4,X,type_1,20.4,95217.0,1.428571429,,4.08882717,,C,78508.584
Id_1164,G,,False,True,7.4,X,type_1,17.28,72823.0,1.428571429,-27.828,4.08882717,True,C,62800.584
Id_3261,C,9.8,False,True,9.25,X,type_1,18.96,71029.0,1.428571429,-27.828,4.08882717,,C,68486.88
Id_4687,E,9.6,False,True,8.88,Z,,18.24,95435.0,1.428571429,-27.828,4.08882717,True,D,117715.752
Id_1450,B,10.0,False,,16.65,Z,type_2,22.8,84985.0,2.857142857,-27.828,5.488589937,False,C,367463.5272
Id_3862,C,,,True,9.25,,type_1,18.96,121153.0,1.428571429,-27.828,4.08882717,False,C,68763.3408
Id_6103,H,7.6,False,,7.4,X,,14.4,251551.0,1.428571429,-34.785,4.08882717,False,C,21959.784
Id_9215,H,10.6,True,False,11.1,Z,type_2,19.2,,1.428571429,-13.914,,False,C,156910.3536
Id_7120,G,8.6,False,False,8.88,W,type_0,24.24,290951.0,1.428571429,-27.828,2.615056629,,,43950.984
Id_6398,B,9.8,False,True,9.25,X,type_3,10.08,64606.0,1.428571429,-27.828,4.08882717,False,C,119349.384
Id_9588,I,9.2,False,True,10.36,Z,,21.84,68657.0,1.428571429,-27.828,4.08882717,False,A,122459.568
Id_6214,,10.2,False,True,5.92,X,type_1,16.32,27258.0,1.428571429,-34.785,4.08882717,True,A,116082.12
Id_9645,G,9.8,False,True,8.88,,type_1,19.92,125697.0,1.428571429,-27.828,4.08882717,False,B,61254.9168
Id_5336,D,,False,True,7.4,Y,type_0,19.44,65922.0,1.428571429,-27.828,4.08882717,False,B,122490.984
Id_4056,C,8.0,False,True,9.25,Z,type_2,25.2,178000.0,1.428571429,-27.828,4.08882717,True,C,62480.1408
Id_9511,I,9.8,False,True,13.32,,type_1,22.56,111668.0,2.142857143,-27.828,5.488589937,True,B,115887.3408
Id_2999,B,8.2,False,True,5.55,X,type_1,15.12,89441.0,1.428571429,-20.871,4.08882717,True,D,43950.984
Id_9024,H,10.2,False,,9.25,X,type_1,20.16,33358.0,1.428571429,-27.828,5.488589937,False,D,150765.384
Id_1231,B,7.2,False,True,8.88,Z,type_1,23.04,172338.0,1.428571429,-27.828,,True,A,47108.292
Id_1514,E,9.6,False,True,8.88,Z,type_2,18.24,99214.0,,-27.828,4.08882717,True,C,125312.1408
Id_2313,D,,False,True,,X,type_0,14.4,87293.0,1.428571429,-20.871,1.834008086,True,C,97386.4584
Id_1451,B,9.4,False,True,,X,type_1,,140105.0,1.428571429,-27.828,4.08882717,True,D,84791.784
Id_5267,A,10.4,False,True,7.4,W,type_3,17.52,16882.0,1.428571429,-27.828,4.08882717,True,A,266684.1408
Id_6131,I,,False,,,W,type_1,24.48,128000.0,2.142857143,-13.914,,,D,69083.784
Id_8531,D,6.4,False,False,9.25,X,type_1,32.16,265616.0,1.785714286,-13.914,1.834008086,True,A,125632.584
Id_6464,H,10.2,False,True,9.25,X,type_1,15.6,30601.0,1.428571429,-27.828,4.08882717,True,D,116207.784
Id_838,E,10.4,,True,9.25,Y,type_1,19.44,10.0,1.428571429,-27.828,,False,A,144513.6
Id_9915,B,10.0,False,True,9.25,X,type_3,11.28,33305.0,1.428571429,-34.785,4.08882717,False,D,178339.2072
Id_8261,E,10.2,,False,8.88,Z,type_2,18.96,15500.0,1.428571429,-27.828,4.08882717,False,B,141368.8584
Id_6414,B,10.2,False,True,9.25,Y,type_3,11.52,17408.0,,-34.785,4.08882717,False,A,194763.492
Id_8504,F,,False,True,,,type_2,22.08,250677.0,1.785714286,,4.08882717,,D,103515.72
Id_3567,H,9.6,False,True,9.25,X,type_1,14.64,50304.0,1.428571429,-34.785,4.08882717,True,D,73513.44
Id_9264,B,10.0,,,10.36,,type_2,17.76,37826.0,1.428571429,-27.828,4.08882717,False,D,203852.1408
Id_3087,G,8.2,False,True,9.25,W,type_2,23.04,97656.0,1.428571429,-27.828,4.796035003,False,,81650.184
Id_8643,E,,,True,8.88,Z,type_2,19.2,50213.0,1.428571429,-27.828,5.488589937,True,,177468.984
Id_1714,C,10.2,False,True,9.25,,type_1,19.92,60256.0,1.428571429,-27.828,4.08882717,True,B,83833.596
Id_339,F,7.6,False,False,11.1,W,,22.32,268645.0,1.428571429,-13.914,1.834008086,True,D,28242.984
Id_9563,I,8.6,False,True,13.32,W,type_1,23.76,157828.0,2.142857143,-13.914,1.834008086,True,D,62800.584
Id_5942,F,9.4,False,True,11.84,Y,type_2,20.4,127710.0,1.785714286,-27.828,5.488589937,True,A,108312.9432
Id_9869,E,9.2,False,False,8.88,W,type_2,,,1.428571429,,,True,A,87933.384
Id_8102,F,9.4,False,True,11.84,Z,type_2,22.08,97757.0,1.785714286,-27.828,4.08882717,False,D,141340.584
Id_8488,B,9.0,False,True,12.95,X,,22.32,77989.0,2.142857143,-27.828,4.08882717,False,C,59376.24
Id_588,A,8.8,False,True,11.1,W,type_0,18.48,114123.0,2.142857143,-13.914,3.363585661,True,A,157048.584
Id_3365,G,8.8,False,True,5.92,X,type_1,16.56,107338.0,1.428571429,-27.828,4.08882717,True,B,47029.752
Id_2670,F,8.6,,True,7.4,X,,16.08,195242.0,1.428571429,-34.785,4.08882717,False,C,37542.12
Id_3589,J,8.6,False,True,7.4,X,type_1,17.76,135500.0,1.428571429,-27.828,,False,D,53375.784
Id_34,,9.0,False,True,10.36,Z,type_2,20.4,107084.0,1.428571429,-27.828,4.08882717,,D,160190.184
Id_28,G,9.4,False,True,5.92,X,type_2,11.04,141600.0,1.428571429,,4.08882717,False,B,56517.384
Id_8553,J,9.4,False,True,7.4,X,,18.96,172450.0,1.428571429,-27.828,4.08882717,True,C,56533.092
Id_8117,D,9.4,False,True,5.18,X,type_0,12.96,104296.0,1.428571429,-34.785,4.08882717,,C,55763.4
Id_2170,F,9.6,False,True,8.14,W,type_2,18.72,242957.0,1.428571429,-27.828,4.08882717,False,,65816.52
Id_8377,,8.6,False,True,9.25,X,,15.84,224000.0,1.428571429,-27.828,4.08882717,False,B,37696.0584
Id_5620,D,8.2,False,False,7.4,Z,type_2,18.96,232070.0,1.428571429,-27.828,4.08882717,True,D,84791.784
Id_889,B,,False,True,12.95,Y,type_1,22.8,119550.0,,-27.828,5.488589937,True,,109924.584
Id_6489,J,9.4,False,True,8.14,X,type_2,18.48,148223.0,1.428571429,-27.828,,True,A,113066.184
Id_3322,B,7.2,False,True,8.88,X,,23.76,233081.0,1.428571429,-27.828,4.08882717,False,D,25101.384
Id_9396,D,9.0,False,True,5.18,X,type_0,12.96,103485.0,1.428571429,-34.785,4.08882717,True,D,53250.12
Id_3514,B,7.0,False,False,8.88,Z,type_1,22.56,205605.0,1.428571429,-27.828,4.08882717,,B,37667.784
Id_4420,B,,False,True,10.36,Z,type_2,20.4,120291.0,1.428571429,-27.828,,True,D,135057.384
Id_8351,A,9.6,False,True,4.81,X,type_0,13.68,34442.0,1.428571429,-34.785,4.08882717,,D,163206.12
Id_5361,B,9.6,False,True,11.1,W,type_2,22.8,,1.428571429,-20.871,8.795966979,True,A,232321.32
Id_3733,G,7.8,False,,,X,type_1,18.24,173806.0,,-34.785,4.08882717,False,,28271.2584
Id_9463,B,10.2,False,True,9.25,X,type_3,11.28,30939.0,1.428571429,-27.828,,False,A,163268.952
Id_7081,B,9.6,False,True,4.44,X,type_0,13.2,,1.428571429,-27.828,4.08882717,True,A,103515.72
Id_1654,C,,False,True,9.25,X,type_1,18.96,155373.0,1.428571429,,4.08882717,False,D,56190.6576
Id_5032,B,10.4,False,True,10.36,,type_2,18.96,13578.0,,-27.828,5.488589937,True,A,292137.384
Id_223,F,,False,True,,X,type_0,12.72,21657.0,1.071428571,-34.785,4.08882717,True,C,100179.3408
Id_8625,F,9.0,False,False,8.14,X,type_2,17.52,111033.0,1.428571429,-20.871,1.834008086,False,C,100493.5008
Id_6194,C,9.0,,True,12.95,Z,type_0,24.48,123960.0,2.142857143,-27.828,5.488589937,False,,84791.784
Id_1590,J,10.0,False,True,12.21,W,type_1,24.48,19372.0,2.142857143,-27.828,4.08882717,True,A,175577.7408
Id_5982,D,9.8,False,False,5.18,X,type_0,13.68,47246.0,1.428571429,,4.08882717,True,,73544.856
Id_3256,,9.6,,True,8.14,W,type_2,19.68,53362.0,1.428571429,-27.828,3.363585661,True,C,106657.32
Id_6680,C,8.6,False,True,5.92,,type_0,17.76,98137.0,1.428571429,-27.828,4.08882717,False,A,53375.784
Id_4770,,9.0,False,True,7.4,X,type_1,13.92,34328.0,1.428571429,-34.785,4.08882717,True,D,65659.44
Id_2181,F,,False,True,14.8,Y,type_1,29.28,233573.0,2.142857143,-27.828,4.08882717,False,C,25129.6584
Id_6803,H,8.2,False,True,,,type_1,14.64,,1.428571429,-27.828,4.08882717,True,B,40809.384
Id_4913,A,,False,True,7.4,Y,type_0,16.08,36952.0,1.428571429,-34.785,,True,B,125632.584
Id_6786,B,,False,,11.1,W,type_2,20.88,204859.0,1.428571429,-27.828,1.834008086,True,A,78068.76
Id_4789,B,8.6,False,True,7.4,W,type_0,17.04,110476.0,1.428571429,-13.914,3.363585661,False,C,87612.9408
Id_1209,B,10.2,,True,7.4,,type_1,14.4,43493.0,1.428571429,-34.785,4.08882717,False,A,94216.584
Id_421,A,9.8,False,True,,X,type_0,13.68,14553.0,1.428571429,-27.828,4.08882717,True,C,147617.5008
Id_8740,G,9.6,False,True,7.4,X,type_1,17.76,94193.0,1.428571429,-27.828,4.08882717,True,C,75366.984
Id_1706,G,9.6,False,True,5.92,X,type_2,,18611.0,1.428571429,,4.08882717,True,A,87612.9408
Id_1158,,9.4,False,True,7.4,Y,type_2,16.32,116134.0,1.428571429,-27.828,4.08882717,True,C,90729.408
Id_2306,G,,False,True,,X,type_1,17.76,50745.0,1.428571429,-27.828,4.08882717,True,C,62800.584
Id_273,H,,True,,7.03,X,type_2,16.8,,1.428571429,-13.914,1.834008086,False,B,121661.6016
Id_171,A,9.4,False,True,22.2,W,type_0,30.48,8880.0,,-27.828,,False,,970402.5408
Id_3956,B,10.2,False,False,10.36,,type_2,17.04,13951.0,1.428571429,-27.828,4.08882717,False,A,157048.584
Id_6696,B,9.8,False,True,9.25,,type_3,11.28,60783.0,1.428571429,-34.785,,False,B,147623.784
Id_3188,G,10.0,False,True,7.4,X,type_1,17.28,54124.0,1.428571429,-27.828,,False,D,84791.784
Id_8132,B,7.8,False,True,6.66,,,,214391.0,1.428571429,,4.08882717,True,D,37667.784
Id_4808,H,,False,True,9.25,X,type_1,20.16,,1.428571429,-27.828,5.488589937,True,A,106782.984
Id_8083,F,5.6,False,True,14.8,W,type_1,,,2.142857143,-27.828,4.08882717,False,D,47092.584
Id_1564,J,8.4,False,,7.4,Y,type_2,18.0,,1.428571429,-27.828,4.08882717,False,D,46966.92
Id_1782,J,9.6,False,True,4.44,X,type_1,13.92,,1.428571429,-34.785,4.08882717,False,C,69112.0584
Id_843,E,10.4,False,True,9.25,Y,type_1,19.44,7565.0,,-27.828,5.488589937,True,B,183720.768
Id_9345,A,,False,True,7.4,Y,,19.2,3620.0,1.428571429,-27.828,4.08882717,True,B,260375.808
Id_4461,A,,False,True,11.1,Z,type_2,23.52,124500.0,2.142857143,-27.828,4.08882717,False,C,93896.1408
Id_904,D,10.4,True,True,7.4,Y,type_2,,14.0,1.428571429,-27.828,4.08882717,False,C,206635.5984
Id_5911,H,10.6,True,True,12.21,Y,type_3,,,,-27.828,4.08882717,,A,241903.2
Id_9950,B,8.2,False,,4.81,X,,15.6,197505.0,1.428571429,-34.785,4.08882717,True,B,28258.692
Id_9297,E,9.4,False,True,8.88,Z,type_2,18.24,159901.0,1.428571429,-27.828,4.08882717,True,A,109924.584
Id_1547,H,10.0,False,True,7.4,X,type_1,16.56,28997.0,1.428571429,-27.828,4.08882717,False,,109921.4424
Id_2080,C,7.2,False,True,17.76,Z,type_1,41.28,228460.0,2.142857143,-27.828,5.488589937,True,D,65942.184
Id_9881,I,9.4,,True,10.36,Z,type_2,21.84,145506.0,1.428571429,-27.828,,False,A,115921.8984
Id_3985,I,9.4,False,True,,Z,type_2,21.84,147604.0,1.428571429,-27.828,4.08882717,True,A,116207.784
Id_6389,B,10.2,False,True,7.4,X,type_1,14.4,67864.0,1.428571429,-27.828,4.08882717,False,C,100499.784
Id_7579,I,8.6,,True,22.2,W,type_1,29.76,94895.0,2.857142857,-13.914,1.834008086,False,B,125632.584
Id_9245,E,,,True,8.88,X,type_1,,86273.0,1.428571429,-27.828,5.488589937,False,A,95787.384
Id_6567,B,,,True,7.4,X,type_1,15.6,48969.0,1.428571429,-34.785,4.08882717,False,,150325.56
Id_8206,B,6.8,False,True,14.8,Z,type_1,31.68,269101.0,2.142857143,-27.828,6.168843302,True,C,62816.292
Id_3820,I,9.4,False,True,5.92,X,type_0,15.12,68659.0,1.428571429,-34.785,4.08882717,False,B,75366.984
Id_2646,B,9.8,False,True,,X,,22.32,86607.0,2.142857143,-27.828,,False,B,156985.752
